Predictor,Mean Weight,SE Weight
0,0.0,
1,0.0710988308871043,
2,0.0710988308871043,
3,0.0,
4,0.0,
5,0.015499592143119661,
6,0.0,
7,0.05681311660139001,
8,0.01342890907365496,
9,0.0125,
10,0.0125,
11,0.028813524458270345,
12,0.057669921813449335,
13,0.0125,
14,0.04367522395289373,
15,0.0,
16,0.055599238743984626,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.015384615384615385,
22,0.055599238743984626,
23,0.0,
24,0.007896794625726431,
25,0.0,
26,0.015499592143119661,
27,0.004098478343104135,
28,0.014285714285714285,
29,0.04228530642883395,
30,0.0,
31,0.0,
32,0.015499592143119661,
33,0.0,
34,0.0710988308871043,
35,0.0,
36,0.015499592143119661,
37,0.027714623359369243,
38,0.05859883088710429,
39,0.04021462335936925,
40,0.04142850121677462,
41,0.0,
42,0.0125,
43,0.026785714285714284,
44,0.055599238743984626,
45,0.0,
46,0.0,
47,0.028813524458270345,
48,0.0,
