image,Entropy
aardvark_01b.jpg,2.381837997758648
abacus_01b.jpg,3.2454026642117633
accordion_01b.jpg,3.1998971713791304
acorn_01b.jpg,3.197889215189098
air_conditioner_01b.jpg,3.242016725949731
air_mattress_01b.jpg,3.389341552200625
air_pump_01s.jpg,3.2126577914421874
airbag_01b.jpg,3.407297079526507
airboat_01s.jpg,3.12454570854208
aircraft_carrier_01b.jpg,2.860161946886091
airplane_01b.jpg,3.062899138541963
album_01s.jpg,3.4347435993744737
alligator_01b.jpg,2.631873898667871
almond_01b.jpg,2.700277333857237
aloe_01b.jpg,3.2839467082461042
alpaca_01b.jpg,2.8270664583337752
altar_01b.jpg,3.1996553018824847
aluminum_foil_01b.jpg,3.2594520896857353
amber_01b.jpg,3.334519672686766
ambulance_01b.jpg,3.139289427666575
amplifier_01s.jpg,3.083636321977207
anchor_01b.jpg,3.133862943102975
ankle_01b.jpg,3.1311428159443038
anklet_01b.jpg,3.255393073129934
ant_01b.jpg,2.8786831110260978
anteater_01b.jpg,2.1514570580933587
antelope_01b.jpg,2.4158405494496997
antenna_01b.jpg,3.218783528425733
anvil_01b.jpg,2.8370859895584815
appetizer_01b.jpg,2.8291016743201345
apple_01b.jpg,2.9982576515831467
apple_tree_01b.jpg,2.865061488462173
applesauce_01b.jpg,2.607120324292641
apron_01b.jpg,3.117868183220661
aquarium_01b.jpg,3.260820216727936
arch_01b.jpg,3.1595612503217407
arm_01b.jpg,3.2543265488294235
armor_01b.jpg,3.0029248040897
arrow_01b.jpg,3.3495828296582197
artichoke_01b.jpg,2.6419669002412456
arugula_01b.jpg,2.6570909406193195
ashtray_01s.jpg,3.187367356548279
asparagus_01b.jpg,2.8958495448676835
avocado_01b.jpg,2.728854284592701
awning_01b.jpg,3.3749118144510746
axe_01b.jpg,3.05233252746768
baby_01b.jpg,2.968169435947238
backdrop_01b.jpg,3.359415357877618
backgammon_01b.jpg,3.3394762327281016
backpack_01b.jpg,3.3272586360000154
backscratcher_01b.jpg,3.2647310575407085
bacon_01b.jpg,2.7179045805834843
badge_01b.jpg,3.33450271885971
badger_01b.jpg,2.460162092487003
bag_01b.jpg,3.2602201139464198
bagel_01s.jpg,2.9058036559114924
bagpipe_01b.jpg,3.438003938199568
baklava_01s.jpg,2.3983187485204267
balance_beam_01b.jpg,3.20976639084737
ball_01b.jpg,3.338008505248223
balloon_01b.jpg,3.3627553057340425
ballot_box_01b.jpg,3.291289233758702
bamboo_01b.jpg,3.1446791293887144
banana_01b.jpg,2.957093860590665
banana_peel_01b.jpg,2.9077944438970005
banana_split_01b.jpg,2.937124226318494
bandage_01b.jpg,3.3607161764600595
bandanna_01b.jpg,3.2335885752957925
banjo_01s.jpg,3.3003430307778325
bank_01b.jpg,3.3334490415716087
banner_01b.jpg,3.3039223369590585
barbed_wire_01b.jpg,3.08739363987088
barbell_01s.jpg,3.130764030097507
barcode_01b.jpg,3.347821509517503
bark_01s.jpg,3.137112433531952
barnacle_01s.jpg,3.0644393145956874
barrel_01b.jpg,3.2294530312472536
barrette_01b.jpg,3.3852136878419437
baseball_01b.jpg,3.2307430925859717
baseball_bat_01b.jpg,3.284517059716294
baseball_glove_01b.jpg,3.322586075915594
basil_01b.jpg,2.7856187512271773
basket_01b.jpg,3.423511846995085
basketball_01b.jpg,3.265187890092472
basketball_hoop_01b.jpg,3.2173441379215904
bassinet_01b.jpg,3.277242540906251
bassoon_01b.jpg,3.196819792723712
bat1_01b.jpg,3.2045967675065845
bat2_01b.jpg,3.3064555107213467
bathmat_01b.jpg,3.3082594625990196
bathrobe_01b.jpg,3.1259638637585154
bathtub_01b.jpg,3.1510906801455087
baton1_01s.jpg,3.150767589869364
baton2_01s.jpg,3.247979596498666
baton3_01s.jpg,3.3137791305829167
baton4_01b.jpg,3.271947205579566
batter_01b.jpg,3.0181117495039627
battery_01b.jpg,3.049308218727179
bazooka_01b.jpg,3.1760067670442647
beachball_01b.jpg,3.2746771709414197
bead_01b.jpg,3.314078238323267
beaker_01b.jpg,3.305413615544847
bean_01b.jpg,2.4121552174944285
